BaseCode,SectionBreakStartKM,break_date,last_fail_if_available_otherwise_null,r_date,rul,p_key,partition_col,target
ARTC-10,234.44,2023-10-08,null,2023-06-28,103,ARTC-10_234.44_20m_2023-06-28,ARTC-10_234.44,0
ARTC-10,234.44,2023-10-08,null,2023-08-13,57,ARTC-10_234.44_20m_2023-08-13,ARTC-10_234.44,0
ARTC-10,234.44,2023-10-08,null,2023-09-20,19,ARTC-10_234.44_20m_2023-09-20,ARTC-10_234.44,1
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-01,180,ARTC-11_171.6_20m_2023-05-01,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-03,178,ARTC-11_171.6_20m_2023-05-03,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-04,177,ARTC-11_171.6_20m_2023-05-04,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-05,176,ARTC-11_171.6_20m_2023-05-05,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-06,175,ARTC-11_171.6_20m_2023-05-06,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-07,174,ARTC-11_171.6_20m_2023-05-07,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-08,173,ARTC-11_171.6_20m_2023-05-08,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-10,171,ARTC-11_171.6_20m_2023-05-10,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-11,170,ARTC-11_171.6_20m_2023-05-11,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-12,169,ARTC-11_171.6_20m_2023-05-12,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-13,168,ARTC-11_171.6_20m_2023-05-13,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-14,167,ARTC-11_171.6_20m_2023-05-14,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-15,166,ARTC-11_171.6_20m_2023-05-15,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-16,165,ARTC-11_171.6_20m_2023-05-16,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-17,164,ARTC-11_171.6_20m_2023-05-17,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-18,163,ARTC-11_171.6_20m_2023-05-18,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-19,162,ARTC-11_171.6_20m_2023-05-19,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-20,161,ARTC-11_171.6_20m_2023-05-20,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-21,160,ARTC-11_171.6_20m_2023-05-21,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-05-22,159,ARTC-11_171.6_20m_2023-05-22,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-02,148,ARTC-11_171.6_20m_2023-06-02,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-03,147,ARTC-11_171.6_20m_2023-06-03,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-04,146,ARTC-11_171.6_20m_2023-06-04,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-05,145,ARTC-11_171.6_20m_2023-06-05,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-06,144,ARTC-11_171.6_20m_2023-06-06,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-07,143,ARTC-11_171.6_20m_2023-06-07,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-08,142,ARTC-11_171.6_20m_2023-06-08,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-09,141,ARTC-11_171.6_20m_2023-06-09,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-10,140,ARTC-11_171.6_20m_2023-06-10,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-11,139,ARTC-11_171.6_20m_2023-06-11,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-12,138,ARTC-11_171.6_20m_2023-06-12,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-13,137,ARTC-11_171.6_20m_2023-06-13,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-14,136,ARTC-11_171.6_20m_2023-06-14,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-15,135,ARTC-11_171.6_20m_2023-06-15,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-17,133,ARTC-11_171.6_20m_2023-06-17,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-18,132,ARTC-11_171.6_20m_2023-06-18,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-19,131,ARTC-11_171.6_20m_2023-06-19,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-20,130,ARTC-11_171.6_20m_2023-06-20,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-21,129,ARTC-11_171.6_20m_2023-06-21,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-22,128,ARTC-11_171.6_20m_2023-06-22,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-23,127,ARTC-11_171.6_20m_2023-06-23,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-24,126,ARTC-11_171.6_20m_2023-06-24,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-25,125,ARTC-11_171.6_20m_2023-06-25,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-26,124,ARTC-11_171.6_20m_2023-06-26,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-27,123,ARTC-11_171.6_20m_2023-06-27,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-28,122,ARTC-11_171.6_20m_2023-06-28,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-29,121,ARTC-11_171.6_20m_2023-06-29,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-06-30,120,ARTC-11_171.6_20m_2023-06-30,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-01,119,ARTC-11_171.6_20m_2023-07-01,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-02,118,ARTC-11_171.6_20m_2023-07-02,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-03,117,ARTC-11_171.6_20m_2023-07-03,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-04,116,ARTC-11_171.6_20m_2023-07-04,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-05,115,ARTC-11_171.6_20m_2023-07-05,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-06,114,ARTC-11_171.6_20m_2023-07-06,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-07,113,ARTC-11_171.6_20m_2023-07-07,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-09,111,ARTC-11_171.6_20m_2023-07-09,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-10,110,ARTC-11_171.6_20m_2023-07-10,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-11,109,ARTC-11_171.6_20m_2023-07-11,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-12,108,ARTC-11_171.6_20m_2023-07-12,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-13,107,ARTC-11_171.6_20m_2023-07-13,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-14,106,ARTC-11_171.6_20m_2023-07-14,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-15,105,ARTC-11_171.6_20m_2023-07-15,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-16,104,ARTC-11_171.6_20m_2023-07-16,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-17,103,ARTC-11_171.6_20m_2023-07-17,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-18,102,ARTC-11_171.6_20m_2023-07-18,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-19,101,ARTC-11_171.6_20m_2023-07-19,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-20,100,ARTC-11_171.6_20m_2023-07-20,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-21,99,ARTC-11_171.6_20m_2023-07-21,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-22,98,ARTC-11_171.6_20m_2023-07-22,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-23,97,ARTC-11_171.6_20m_2023-07-23,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-24,96,ARTC-11_171.6_20m_2023-07-24,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-25,95,ARTC-11_171.6_20m_2023-07-25,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-26,94,ARTC-11_171.6_20m_2023-07-26,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-27,93,ARTC-11_171.6_20m_2023-07-27,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-28,92,ARTC-11_171.6_20m_2023-07-28,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-29,91,ARTC-11_171.6_20m_2023-07-29,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-30,90,ARTC-11_171.6_20m_2023-07-30,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-07-31,89,ARTC-11_171.6_20m_2023-07-31,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-01,88,ARTC-11_171.6_20m_2023-08-01,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-02,87,ARTC-11_171.6_20m_2023-08-02,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-03,86,ARTC-11_171.6_20m_2023-08-03,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-04,85,ARTC-11_171.6_20m_2023-08-04,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-08,81,ARTC-11_171.6_20m_2023-08-08,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-09,80,ARTC-11_171.6_20m_2023-08-09,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-10,79,ARTC-11_171.6_20m_2023-08-10,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-11,78,ARTC-11_171.6_20m_2023-08-11,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-12,77,ARTC-11_171.6_20m_2023-08-12,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-13,76,ARTC-11_171.6_20m_2023-08-13,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-14,75,ARTC-11_171.6_20m_2023-08-14,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-15,74,ARTC-11_171.6_20m_2023-08-15,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-16,73,ARTC-11_171.6_20m_2023-08-16,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-17,72,ARTC-11_171.6_20m_2023-08-17,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-18,71,ARTC-11_171.6_20m_2023-08-18,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-19,70,ARTC-11_171.6_20m_2023-08-19,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-20,69,ARTC-11_171.6_20m_2023-08-20,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-21,68,ARTC-11_171.6_20m_2023-08-21,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-22,67,ARTC-11_171.6_20m_2023-08-22,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-23,66,ARTC-11_171.6_20m_2023-08-23,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-24,65,ARTC-11_171.6_20m_2023-08-24,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-25,64,ARTC-11_171.6_20m_2023-08-25,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-26,63,ARTC-11_171.6_20m_2023-08-26,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-27,62,ARTC-11_171.6_20m_2023-08-27,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-28,61,ARTC-11_171.6_20m_2023-08-28,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-29,60,ARTC-11_171.6_20m_2023-08-29,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-30,59,ARTC-11_171.6_20m_2023-08-30,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-08-31,58,ARTC-11_171.6_20m_2023-08-31,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-01,57,ARTC-11_171.6_20m_2023-09-01,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-02,56,ARTC-11_171.6_20m_2023-09-02,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-03,55,ARTC-11_171.6_20m_2023-09-03,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-04,54,ARTC-11_171.6_20m_2023-09-04,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-05,53,ARTC-11_171.6_20m_2023-09-05,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-06,52,ARTC-11_171.6_20m_2023-09-06,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-07,51,ARTC-11_171.6_20m_2023-09-07,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-08,50,ARTC-11_171.6_20m_2023-09-08,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-09,49,ARTC-11_171.6_20m_2023-09-09,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-10,48,ARTC-11_171.6_20m_2023-09-10,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-11,47,ARTC-11_171.6_20m_2023-09-11,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-12,46,ARTC-11_171.6_20m_2023-09-12,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-13,45,ARTC-11_171.6_20m_2023-09-13,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-14,44,ARTC-11_171.6_20m_2023-09-14,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-15,43,ARTC-11_171.6_20m_2023-09-15,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-16,42,ARTC-11_171.6_20m_2023-09-16,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-17,41,ARTC-11_171.6_20m_2023-09-17,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-18,40,ARTC-11_171.6_20m_2023-09-18,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-19,39,ARTC-11_171.6_20m_2023-09-19,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-20,38,ARTC-11_171.6_20m_2023-09-20,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-21,37,ARTC-11_171.6_20m_2023-09-21,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-22,36,ARTC-11_171.6_20m_2023-09-22,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-23,35,ARTC-11_171.6_20m_2023-09-23,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-24,34,ARTC-11_171.6_20m_2023-09-24,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-25,33,ARTC-11_171.6_20m_2023-09-25,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-26,32,ARTC-11_171.6_20m_2023-09-26,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-27,31,ARTC-11_171.6_20m_2023-09-27,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-28,30,ARTC-11_171.6_20m_2023-09-28,ARTC-11_171.6,0
ARTC-11,171.6,2023-10-27,2010-10-19,2023-09-29,29,ARTC-11_171.6_20m_2023-09-29,ARTC-11_171.6,1
