BaseCode,SectionBreakStartKM,SectionBreakFinishKM
ARTC-12,192.78,192.8
ARTC-12,192.8,192.82
ARTC-12,192.82,192.84
ARTC-12,192.84,192.86
ARTC-12,192.86,192.88
ARTC-12,192.88,192.9
ARTC-12,192.9,192.92
ARTC-12,192.92,192.94
ARTC-12,192.94,192.96
ARTC-12,192.96,192.98
ARTC-12,192.98,193
ARTC-12,193,193.02
ARTC-12,193.02,193.04
ARTC-12,193.04,193.06
ARTC-12,193.06,193.08
ARTC-12,193.08,193.1
ARTC-12,193.1,193.12
ARTC-12,193.12,193.14
ARTC-12,193.14,193.16
ARTC-12,193.16,193.18
ARTC-12,193.18,193.2
ARTC-12,193.2,193.22
ARTC-12,193.22,193.24
ARTC-12,193.24,193.26
ARTC-12,193.26,193.28
ARTC-12,193.28,193.3
ARTC-12,193.3,193.32
ARTC-12,193.32,193.34
ARTC-12,193.34,193.36
ARTC-12,193.36,193.38
ARTC-12,193.38,193.4
ARTC-12,193.4,193.42
ARTC-12,193.42,193.44
ARTC-12,193.44,193.46
ARTC-12,193.46,193.48
ARTC-12,193.48,193.5
ARTC-12,193.5,193.52
ARTC-12,193.52,193.54
ARTC-12,193.54,193.56
ARTC-12,193.56,193.58
ARTC-12,193.58,193.6
ARTC-12,193.6,193.62
ARTC-12,193.62,193.64
ARTC-12,193.64,193.66
ARTC-12,193.66,193.68
ARTC-12,193.68,193.7
ARTC-12,193.7,193.72
ARTC-12,193.72,193.74
ARTC-12,193.74,193.76
ARTC-12,193.76,193.78
ARTC-12,193.78,193.8
ARTC-12,193.8,193.82
ARTC-12,193.82,193.84
ARTC-12,193.84,193.86
ARTC-12,193.86,193.88
ARTC-12,193.88,193.9
ARTC-12,193.9,193.92
ARTC-12,193.92,193.94
ARTC-12,193.94,193.96
ARTC-12,193.96,193.98
ARTC-12,193.98,194
ARTC-12,194,194.02
ARTC-12,194.02,194.04
ARTC-12,194.04,194.06
ARTC-12,194.06,194.08
ARTC-12,194.08,194.1
ARTC-12,194.1,194.12
ARTC-12,194.12,194.14
ARTC-12,194.14,194.16
ARTC-12,194.16,194.18
ARTC-12,194.18,194.2
ARTC-12,194.2,194.22
ARTC-12,194.22,194.24
ARTC-12,194.24,194.26
ARTC-12,194.26,194.28
ARTC-12,194.28,194.3
ARTC-12,194.3,194.32
ARTC-12,194.32,194.34
ARTC-12,194.34,194.36
