p_key,BaseCode,SectionBreakStartKM,SectionBreakFinishKM,RecordingDate
ARTC-11_171.6_20m_2023-10-25,ARTC-11,171.6,171.62,2023-10-25
ARTC-11_178.02_20m_2023-11-16,ARTC-11,178.02,178.04,2023-11-16
ARTC-12_215.7_20m_2023-06-17,ARTC-12,215.7,215.72,2023-06-17
ARTC-12_239.08_20m_2023-11-04,ARTC-12,239.08,239.1,2023-11-04
ARTC-10_234.44_20m_2023-09-20,ARTC-10,234.44,234.46,2023-09-20
ARTC-11_182.42_20m_2023-05-10,ARTC-11,182.42,182.44,2023-05-10
ARTC-14_362.14_20m_2023-08-26,ARTC-14,362.14,362.16,2023-08-26
ARTC-16_420.06_20m_2023-06-28,ARTC-16,420.06,420.08,2023-06-28
ARTC-11_178.02_20m_2023-10-14,ARTC-11,178.02,178.04,2023-10-14
ARTC-11_178.02_20m_2023-12-18,ARTC-11,178.02,178.04,2023-12-18
ARTC-12_239.08_20m_2023-09-24,ARTC-12,239.08,239.1,2023-09-24
ARTC-11_178.02_20m_2023-12-14,ARTC-11,178.02,178.04,2023-12-14
ARTC-12_239.08_20m_2023-10-11,ARTC-12,239.08,239.1,2023-10-11
ARTC-16_420.06_20m_2023-06-19,ARTC-16,420.06,420.08,2023-06-19
ARTC-11_178.02_20m_2023-07-02,ARTC-11,178.02,178.04,2023-07-02
ARTC-11_178.52_20m_2023-07-28,ARTC-11,178.52,178.54,2023-07-28
ARTC-12_249.46_20m_2023-06-12,ARTC-12,249.46,249.48,2023-06-12
ARTC-14_314.78_20m_2023-12-22,ARTC-14,314.78,314.8,2023-12-22
ARTC-11_183.04_20m_2023-09-04,ARTC-11,183.04,183.06,2023-09-04
ARTC-14_314.78_20m_2023-07-13,ARTC-14,314.78,314.8,2023-07-13
ARTC-11_178.02_20m_2023-11-19,ARTC-11,178.02,178.04,2023-11-19
ARTC-11_183.04_20m_2023-09-08,ARTC-11,183.04,183.06,2023-09-08
ARTC-16_420.06_20m_2023-07-23,ARTC-16,420.06,420.08,2023-07-23
ARTC-11_171.6_20m_2023-11-17,ARTC-11,171.6,171.62,2023-11-17
ARTC-12_239.08_20m_2023-10-24,ARTC-12,239.08,239.1,2023-10-24
ARTC-11_178.02_20m_2023-06-12,ARTC-11,178.02,178.04,2023-06-12
ARTC-14_314.78_20m_2023-09-29,ARTC-14,314.78,314.8,2023-09-29
ARTC-11_171.6_20m_2023-09-12,ARTC-11,171.6,171.62,2023-09-12
ARTC-11_171.6_20m_2023-10-14,ARTC-11,171.6,171.62,2023-10-14
ARTC-11_182.42_20m_2023-06-28,ARTC-11,182.42,182.44,2023-06-28
ARTC-11_182.42_20m_2023-07-19,ARTC-11,182.42,182.44,2023-07-19
ARTC-14_314.78_20m_2023-10-14,ARTC-14,314.78,314.8,2023-10-14
ARTC-12_215.7_20m_2023-06-22,ARTC-12,215.7,215.72,2023-06-22
ARTC-14_362.14_20m_2023-06-26,ARTC-14,362.14,362.16,2023-06-26
ARTC-11_178.02_20m_2023-12-10,ARTC-11,178.02,178.04,2023-12-10
ARTC-12_216.3_20m_2023-06-03,ARTC-12,216.3,216.32,2023-06-03
ARTC-11_182.42_20m_2023-08-03,ARTC-11,182.42,182.44,2023-08-03
ARTC-12_215.7_20m_2023-05-11,ARTC-12,215.7,215.72,2023-05-11
ARTC-14_362.14_20m_2023-11-16,ARTC-14,362.14,362.16,2023-11-16
ARTC-11_171.6_20m_2023-06-27,ARTC-11,171.6,171.62,2023-06-27
ARTC-11_171.6_20m_2023-07-16,ARTC-11,171.6,171.62,2023-07-16
ARTC-12_239.08_20m_2023-10-25,ARTC-12,239.08,239.1,2023-10-25
ARTC-14_314.78_20m_2023-10-22,ARTC-14,314.78,314.8,2023-10-22
ARTC-11_182.42_20m_2023-07-05,ARTC-11,182.42,182.44,2023-07-05
ARTC-11_183.04_20m_2023-08-30,ARTC-11,183.04,183.06,2023-08-30
ARTC-11_178.52_20m_2023-08-09,ARTC-11,178.52,178.54,2023-08-09
ARTC-12_249.46_20m_2023-07-12,ARTC-12,249.46,249.48,2023-07-12
ARTC-12_239.08_20m_2023-08-12,ARTC-12,239.08,239.1,2023-08-12
ARTC-11_171.6_20m_2023-05-10,ARTC-11,171.6,171.62,2023-05-10
ARTC-12_215.7_20m_2023-06-30,ARTC-12,215.7,215.72,2023-06-30
ARTC-12_215.7_20m_2023-05-21,ARTC-12,215.7,215.72,2023-05-21
ARTC-12_239.08_20m_2023-10-13,ARTC-12,239.08,239.1,2023-10-13
ARTC-12_249.46_20m_2023-07-17,ARTC-12,249.46,249.48,2023-07-17
ARTC-14_314.78_20m_2023-06-19,ARTC-14,314.78,314.8,2023-06-19
ARTC-11_171.6_20m_2023-08-03,ARTC-11,171.6,171.62,2023-08-03
ARTC-11_178.02_20m_2023-10-19,ARTC-11,178.02,178.04,2023-10-19
ARTC-12_239.08_20m_2023-08-11,ARTC-12,239.08,239.1,2023-08-11
ARTC-14_362.14_20m_2023-06-14,ARTC-14,362.14,362.16,2023-06-14
ARTC-11_171.6_20m_2023-09-23,ARTC-11,171.6,171.62,2023-09-23
ARTC-12_239.08_20m_2023-08-15,ARTC-12,239.08,239.1,2023-08-15
ARTC-12_239.08_20m_2023-11-24,ARTC-12,239.08,239.1,2023-11-24
ARTC-14_314.78_20m_2023-12-02,ARTC-14,314.78,314.8,2023-12-02
ARTC-11_171.6_20m_2023-10-15,ARTC-11,171.6,171.62,2023-10-15
ARTC-11_178.02_20m_2023-05-16,ARTC-11,178.02,178.04,2023-05-16
ARTC-14_362.14_20m_2023-10-24,ARTC-14,362.14,362.16,2023-10-24
ARTC-11_182.42_20m_2023-06-29,ARTC-11,182.42,182.44,2023-06-29
ARTC-11_183.04_20m_2023-06-08,ARTC-11,183.04,183.06,2023-06-08
ARTC-14_362.14_20m_2023-09-25,ARTC-14,362.14,362.16,2023-09-25
ARTC-11_178.02_20m_2023-12-02,ARTC-11,178.02,178.04,2023-12-02
ARTC-12_216.3_20m_2023-05-08,ARTC-12,216.3,216.32,2023-05-08
ARTC-14_362.14_20m_2023-11-11,ARTC-14,362.14,362.16,2023-11-11
ARTC-11_171.6_20m_2023-05-05,ARTC-11,171.6,171.62,2023-05-05
ARTC-11_171.6_20m_2023-07-25,ARTC-11,171.6,171.62,2023-07-25
ARTC-12_215.7_20m_2023-07-21,ARTC-12,215.7,215.72,2023-07-21
ARTC-12_215.7_20m_2023-08-18,ARTC-12,215.7,215.72,2023-08-18
ARTC-14_314.78_20m_2023-09-01,ARTC-14,314.78,314.8,2023-09-01
ARTC-11_171.6_20m_2023-11-19,ARTC-11,171.6,171.62,2023-11-19
ARTC-11_178.02_20m_2023-07-25,ARTC-11,178.02,178.04,2023-07-25
ARTC-11_171.6_20m_2023-06-13,ARTC-11,171.6,171.62,2023-06-13
ARTC-14_362.14_20m_2023-08-20,ARTC-14,362.14,362.16,2023-08-20
ARTC-11_178.02_20m_2023-06-23,ARTC-11,178.02,178.04,2023-06-23
ARTC-11_178.02_20m_2023-07-27,ARTC-11,178.02,178.04,2023-07-27
ARTC-11_178.02_20m_2023-07-12,ARTC-11,178.02,178.04,2023-07-12
ARTC-11_178.02_20m_2023-06-06,ARTC-11,178.02,178.04,2023-06-06
ARTC-11_178.02_20m_2023-10-31,ARTC-11,178.02,178.04,2023-10-31
ARTC-11_171.6_20m_2023-06-04,ARTC-11,171.6,171.62,2023-06-04
ARTC-11_182.42_20m_2023-07-02,ARTC-11,182.42,182.44,2023-07-02
ARTC-11_182.42_20m_2023-06-10,ARTC-11,182.42,182.44,2023-06-10
ARTC-11_178.52_20m_2023-07-10,ARTC-11,178.52,178.54,2023-07-10
ARTC-11_178.52_20m_2023-06-23,ARTC-11,178.52,178.54,2023-06-23
ARTC-14_314.78_20m_2023-09-30,ARTC-14,314.78,314.8,2023-09-30
ARTC-11_178.02_20m_2023-10-13,ARTC-11,178.02,178.04,2023-10-13
ARTC-11_183.04_20m_2023-06-17,ARTC-11,183.04,183.06,2023-06-17
ARTC-12_239.08_20m_2023-05-08,ARTC-12,239.08,239.1,2023-05-08
ARTC-12_249.46_20m_2023-06-09,ARTC-12,249.46,249.48,2023-06-09
ARTC-16_420.06_20m_2023-05-13,ARTC-16,420.06,420.08,2023-05-13
ARTC-12_249.46_20m_2023-05-22,ARTC-12,249.46,249.48,2023-05-22
ARTC-11_182.42_20m_2023-06-19,ARTC-11,182.42,182.44,2023-06-19
ARTC-11_183.04_20m_2023-05-08,ARTC-11,183.04,183.06,2023-05-08
ARTC-11_183.04_20m_2023-07-19,ARTC-11,183.04,183.06,2023-07-19
ARTC-12_216.3_20m_2023-05-16,ARTC-12,216.3,216.32,2023-05-16
