BaseCode,SectionBreakStartKM,break_date,last_fail_if_available_otherwise_null,r_date,rul,p_key,partition_col,target
ARTC-10,164.46,2016-05-23,null,2016-02-02,112,ARTC-10_164.46_20m_2016-02-02,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-03,111,ARTC-10_164.46_20m_2016-02-03,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-04,110,ARTC-10_164.46_20m_2016-02-04,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-05,109,ARTC-10_164.46_20m_2016-02-05,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-06,108,ARTC-10_164.46_20m_2016-02-06,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-07,107,ARTC-10_164.46_20m_2016-02-07,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-08,106,ARTC-10_164.46_20m_2016-02-08,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-09,105,ARTC-10_164.46_20m_2016-02-09,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-10,104,ARTC-10_164.46_20m_2016-02-10,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-11,103,ARTC-10_164.46_20m_2016-02-11,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-12,102,ARTC-10_164.46_20m_2016-02-12,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-13,101,ARTC-10_164.46_20m_2016-02-13,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-14,100,ARTC-10_164.46_20m_2016-02-14,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-15,99,ARTC-10_164.46_20m_2016-02-15,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-16,98,ARTC-10_164.46_20m_2016-02-16,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-17,97,ARTC-10_164.46_20m_2016-02-17,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-18,96,ARTC-10_164.46_20m_2016-02-18,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-19,95,ARTC-10_164.46_20m_2016-02-19,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-20,94,ARTC-10_164.46_20m_2016-02-20,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-21,93,ARTC-10_164.46_20m_2016-02-21,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-22,92,ARTC-10_164.46_20m_2016-02-22,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-23,91,ARTC-10_164.46_20m_2016-02-23,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-24,90,ARTC-10_164.46_20m_2016-02-24,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-25,89,ARTC-10_164.46_20m_2016-02-25,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-26,88,ARTC-10_164.46_20m_2016-02-26,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-27,87,ARTC-10_164.46_20m_2016-02-27,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-28,86,ARTC-10_164.46_20m_2016-02-28,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-02-29,85,ARTC-10_164.46_20m_2016-02-29,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-01,84,ARTC-10_164.46_20m_2016-03-01,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-02,83,ARTC-10_164.46_20m_2016-03-02,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-03,82,ARTC-10_164.46_20m_2016-03-03,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-04,81,ARTC-10_164.46_20m_2016-03-04,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-05,80,ARTC-10_164.46_20m_2016-03-05,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-06,79,ARTC-10_164.46_20m_2016-03-06,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-07,78,ARTC-10_164.46_20m_2016-03-07,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-08,77,ARTC-10_164.46_20m_2016-03-08,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-09,76,ARTC-10_164.46_20m_2016-03-09,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-10,75,ARTC-10_164.46_20m_2016-03-10,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-11,74,ARTC-10_164.46_20m_2016-03-11,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-12,73,ARTC-10_164.46_20m_2016-03-12,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-13,72,ARTC-10_164.46_20m_2016-03-13,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-14,71,ARTC-10_164.46_20m_2016-03-14,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-15,70,ARTC-10_164.46_20m_2016-03-15,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-16,69,ARTC-10_164.46_20m_2016-03-16,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-17,68,ARTC-10_164.46_20m_2016-03-17,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-18,67,ARTC-10_164.46_20m_2016-03-18,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-19,66,ARTC-10_164.46_20m_2016-03-19,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-20,65,ARTC-10_164.46_20m_2016-03-20,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-21,64,ARTC-10_164.46_20m_2016-03-21,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-22,63,ARTC-10_164.46_20m_2016-03-22,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-23,62,ARTC-10_164.46_20m_2016-03-23,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-24,61,ARTC-10_164.46_20m_2016-03-24,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-25,60,ARTC-10_164.46_20m_2016-03-25,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-26,59,ARTC-10_164.46_20m_2016-03-26,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-27,58,ARTC-10_164.46_20m_2016-03-27,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-28,57,ARTC-10_164.46_20m_2016-03-28,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-29,56,ARTC-10_164.46_20m_2016-03-29,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-30,55,ARTC-10_164.46_20m_2016-03-30,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-03-31,54,ARTC-10_164.46_20m_2016-03-31,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-01,53,ARTC-10_164.46_20m_2016-04-01,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-02,52,ARTC-10_164.46_20m_2016-04-02,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-03,51,ARTC-10_164.46_20m_2016-04-03,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-04,50,ARTC-10_164.46_20m_2016-04-04,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-05,49,ARTC-10_164.46_20m_2016-04-05,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-06,48,ARTC-10_164.46_20m_2016-04-06,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-07,47,ARTC-10_164.46_20m_2016-04-07,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-08,46,ARTC-10_164.46_20m_2016-04-08,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-09,45,ARTC-10_164.46_20m_2016-04-09,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-10,44,ARTC-10_164.46_20m_2016-04-10,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-11,43,ARTC-10_164.46_20m_2016-04-11,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-12,42,ARTC-10_164.46_20m_2016-04-12,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-13,41,ARTC-10_164.46_20m_2016-04-13,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-14,40,ARTC-10_164.46_20m_2016-04-14,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-15,39,ARTC-10_164.46_20m_2016-04-15,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-16,38,ARTC-10_164.46_20m_2016-04-16,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-17,37,ARTC-10_164.46_20m_2016-04-17,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-18,36,ARTC-10_164.46_20m_2016-04-18,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-19,35,ARTC-10_164.46_20m_2016-04-19,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-20,34,ARTC-10_164.46_20m_2016-04-20,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-21,33,ARTC-10_164.46_20m_2016-04-21,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-22,32,ARTC-10_164.46_20m_2016-04-22,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-23,31,ARTC-10_164.46_20m_2016-04-23,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-24,30,ARTC-10_164.46_20m_2016-04-24,ARTC-10_164.46,0
ARTC-10,164.46,2016-05-23,null,2016-04-25,29,ARTC-10_164.46_20m_2016-04-25,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-04-26,28,ARTC-10_164.46_20m_2016-04-26,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-04-27,27,ARTC-10_164.46_20m_2016-04-27,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-04-28,26,ARTC-10_164.46_20m_2016-04-28,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-04-29,25,ARTC-10_164.46_20m_2016-04-29,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-04-30,24,ARTC-10_164.46_20m_2016-04-30,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-01,23,ARTC-10_164.46_20m_2016-05-01,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-02,22,ARTC-10_164.46_20m_2016-05-02,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-03,21,ARTC-10_164.46_20m_2016-05-03,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-04,20,ARTC-10_164.46_20m_2016-05-04,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-05,19,ARTC-10_164.46_20m_2016-05-05,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-06,18,ARTC-10_164.46_20m_2016-05-06,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-07,17,ARTC-10_164.46_20m_2016-05-07,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-08,16,ARTC-10_164.46_20m_2016-05-08,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-09,15,ARTC-10_164.46_20m_2016-05-09,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-10,14,ARTC-10_164.46_20m_2016-05-10,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-11,13,ARTC-10_164.46_20m_2016-05-11,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-12,12,ARTC-10_164.46_20m_2016-05-12,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-13,11,ARTC-10_164.46_20m_2016-05-13,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-14,10,ARTC-10_164.46_20m_2016-05-14,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-15,9,ARTC-10_164.46_20m_2016-05-15,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-16,8,ARTC-10_164.46_20m_2016-05-16,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-17,7,ARTC-10_164.46_20m_2016-05-17,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-18,6,ARTC-10_164.46_20m_2016-05-18,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-19,5,ARTC-10_164.46_20m_2016-05-19,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-20,4,ARTC-10_164.46_20m_2016-05-20,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-21,3,ARTC-10_164.46_20m_2016-05-21,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-22,2,ARTC-10_164.46_20m_2016-05-22,ARTC-10_164.46,1
ARTC-10,164.46,2016-05-23,null,2016-05-23,1,ARTC-10_164.46_20m_2016-05-23,ARTC-10_164.46,1
ARTC-10,164.99,2017-11-12,null,2017-07-24,112,ARTC-10_164.99_20m_2017-07-24,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-07-25,111,ARTC-10_164.99_20m_2017-07-25,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-07-26,110,ARTC-10_164.99_20m_2017-07-26,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-07-27,109,ARTC-10_164.99_20m_2017-07-27,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-07-28,108,ARTC-10_164.99_20m_2017-07-28,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-07-29,107,ARTC-10_164.99_20m_2017-07-29,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-07-30,106,ARTC-10_164.99_20m_2017-07-30,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-07-31,105,ARTC-10_164.99_20m_2017-07-31,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-08-01,104,ARTC-10_164.99_20m_2017-08-01,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-08-02,103,ARTC-10_164.99_20m_2017-08-02,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-08-03,102,ARTC-10_164.99_20m_2017-08-03,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-08-04,101,ARTC-10_164.99_20m_2017-08-04,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-08-05,100,ARTC-10_164.99_20m_2017-08-05,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-08-06,99,ARTC-10_164.99_20m_2017-08-06,ARTC-10_164.99,0
ARTC-10,164.99,2017-11-12,null,2017-08-07,98,ARTC-10_164.99_20m_2017-08-07,ARTC-10_164.99,0
