BaseCode,SectionBreakStartKM,SectionBreakFinishKM,KMLocation,Twist14m,BounceFrt,BounceRr,BodyRockFrt,BodyRockRr,LP1,LP2,LP3,LP4,Speed,BrakeCylinder,IntrainForce,Acc1,Acc2,Acc3,Acc4,Twist2m,Acc1_RMS,Acc2_RMS,Acc3_RMS,Acc4_RMS,Rail_Pro_L,Rail_Pro_R,SND,VACC,VACC_L,VACC_R,Curvature,Track_Offset,ICWVehicle,FileLoadStatus,RecordingDateTime,RecordingDate,SND_L,SND_R
ARTC-12,192.78,192.8,192.7994,7.95178308,-0.0728700159,-0.0650022095,0.412664167,-1.39532626,0.133462067,-0.762665342,0.632660922,-0.279202099,39.291,0.102975648,1.27312456,0.160592543,0.422216546,1.79546852,0.993539873,0.692077133,0.0365868798,0.0676660116,0.0886312817,0.0798116133,-1.6301946,-1.09980135,0.762665342,1.79546852,1.79546852,0.422216546,-0.000050109054,0.130255847,ARTC04,Loaded,2020-10-12T20:33:00Z,2020-10-12,0.632660922,0.133462067
ARTC-12,192.78,192.8,192.7984,6.31040306,-0.211102985,-0.196668173,-0.336024887,-0.894146738,-0.379115428,-0.643741542,0.250405197,-0.0430905411,39.294,0.102975618,1.27312688,0.164488581,0.375343027,0.437988706,0.200186039,1.71386248,0.0321824214,0.0682409372,0.0677266758,0.0640789007,2.77105809,0.230399007,0.643741542,0.437988706,0.437988706,0.375343027,0.000052270204,-0.380024448,ARTC04,Loaded,2020-10-12T20:33:00Z,2020-10-12,0.250405197,-0.379115428
ARTC-12,192.78,192.8,192.7974,5.14778922,0.179648736,-0.401228184,-1.40793128,-0.495541164,-0.524316902,-0.648998766,-0.153457602,0.883614374,39.298,0.108403025,1.07662165,0.127453357,0.453462342,0.200031597,0.151329262,0.467732557,0.0249044132,0.0366112668,0.0588880703,0.0613870183,8.5992499,1.21061165,0.883614374,0.453462342,0.200031597,0.453462342,-0.000005640693,-0.890304744,ARTC04,Loaded,2020-10-12T20:33:00Z,2020-10-12,0.883614374,-0.524316902
ARTC-12,192.78,192.8,192.7964,2.58760628,0.205590354,-0.202158829,-1.14728777,-0.156586423,-0.368053532,-0.28045204,-0.123865617,0.779234239,39.301,0.115826327,1.66613618,0.104062387,0.453462342,0.200031597,0.135696318,-0.513030851,0.0261759683,0.0366112668,0.0588880703,0.057139839,11.5883961,1.21789735,0.779234239,0.453462342,0.200031597,0.453462342,-0.000015301479,-1.40058504,ARTC04,Loaded,2020-10-12T20:33:00Z,2020-10-12,0.779234239,-0.28045204
ARTC-12,192.78,192.8,192.8,8.07028287,0.0876454236,-0.342699685,2.09217272,-1.09908844,1.13373178,-0.892243907,0.206844537,-0.958440938,38.346,0.476660818,-6.42952584,0.269472918,0.445916003,1.41844746,0.594384301,0.210484929,0.0339355762,0.0508913747,0.358709153,0.309642579,-9.62430187,-4.85362195,1.13373178,1.41844746,1.41844746,0.445916003,-0.000068746114,-1.65864484,ARTC04,Loaded,2020-10-28T13:16:00Z,2020-10-28,0.206844537,1.13373178
ARTC-12,192.78,192.8,192.799,8.1889458,0.136533225,0.141364058,1.80741135,-1.84098868,1.0402389,-0.779130283,1.0618584,-0.767172448,38.346,0.484367297,-7.22033326,0.444899045,0.28186074,0.669483901,3.26560548,1.12715268,0.0128771123,0.0592035354,0.0829668073,0.0507104675,-4.77819746,-3.56553849,1.0618584,3.26560548,3.26560548,0.444899045,-0.000079937223,-1.73488131,ARTC04,Loaded,2020-10-28T13:16:00Z,2020-10-28,1.0618584,1.0402389
ARTC-12,192.78,192.8,192.798,7.43539594,-0.23126801,0.0715035138,0.975774931,-1.65398605,0.256619456,-0.755489509,0.898496537,-0.719155476,38.346,0.484410015,-7.22033572,0.55600576,0.541608562,1.08881152,0.303215774,1.18518181,0.0319924358,0.0149480284,0.0446423884,0.0736083275,2.30022682,-1.65209356,0.898496537,1.08881152,1.08881152,0.55600576,-0.000061392022,-1.81110686,ARTC04,Loaded,2020-10-28T13:16:00Z,2020-10-28,0.898496537,0.256619456
ARTC-12,192.78,192.8,192.797,5.20494114,-0.466754225,0.00660940332,0.0916550129,-1.32052356,-0.420926719,-0.653652378,0.666871185,-0.512581731,38.346,0.476683548,-7.61573973,0.579396921,0.541608562,1.08881152,1.10438286,1.19184478,0.0182547995,0.0149480284,0.0446423884,0.04470405,6.82296918,-0.341029978,0.666871185,1.10438286,1.10438286,0.579396921,-0.000017885864,-1.88733241,ARTC04,Loaded,2020-10-28T13:16:00Z,2020-10-28,0.666871185,-0.420926719
ARTC-12,192.78,192.8,192.7999,14.6599895,0.677233356,0.0998773993,1.13630437,-1.71392023,1.24538554,-0.757082714,0.956837513,0.109081169,46.75,-0.0994181512,-8.22684259,0.488757215,1.9720475,null,3.29875015,1.13097378,0.0360366726,0.0857078421,null,0.119105969,2.36329994,1.80132903,1.24538554,3.29875015,3.29875015,1.9720475,0.000161423637,-0.892281789,ARTC04,Loaded,2020-12-05T19:54:00Z,2020-12-05,0.956837513,1.24538554
ARTC-12,192.78,192.8,192.7999,9.18440479,0.28495788,null,0.636873649,null,0.603394705,null,0.11293755,-0.0334789445,20.928,0.189480322,33.1386054,2.11059933,1.68567407,0.265297845,0.550676938,0.310395972,0.0974527062,-0.0132430931,-0.0193444405,-0.00799643702,-7.87140752,-1.83385547,0.603394705,2.11059933,2.11059933,0.550676938,-0.000100073902,-2.67258712,ARTC02,Loaded,2020-12-05T22:54:00Z,2020-12-05,0.11293755,0.603394705
ARTC-12,192.78,192.8,192.7999,6.19127039,0.727321364,-0.0896489752,0.926453343,-2.91895254,1.19054804,-1.54912524,1.36982729,0.264094692,44.678,0.296351278,10.7235287,0.503776561,1.57625099,4.44181909,2.65872385,0.529928997,-0.00683972695,0.0490959131,0.123311564,0.0239615773,3.01950609,2.5048829,1.54912524,4.44181909,4.44181909,1.57625099,-0.000660610684,-0.444266062,ARTC05,Loaded,2020-12-05T06:01:00Z,2020-12-05,1.36982729,1.19054804
ARTC-12,192.78,192.8,192.7999,9.60533436,-0.619770249,0.305901953,1.98877336,-1.06473132,0.374616429,-0.226463709,0.838267614,-1.61415693,25.236,-0.154884557,21.6867456,0.810105502,0.44562004,1.63730397,2.47300491,-0.275422062,-0.0418702419,-0.0480352326,-0.00520447711,0.158640712,-7.93440759,-1.0002381,1.61415693,2.47300491,2.47300491,0.810105502,-0.000182598922,-2.11835227,ARTC05,Loaded,2020-12-05T20:19:00Z,2020-12-05,0.838267614,0.374616429
ARTC-12,192.78,192.8,192.7999,1.25117262,null,-0.300408443,null,-1.56530368,-0.734032283,-1.08306028,0.482243394,null,32.723,-24.8682908,5.39534134,0.262075255,0.183690749,0.480695407,0.439324726,1.95583324,-0.00236121548,0.00878430042,0.0796793913,0.098169415,-5.67827425,-13.6570242,1.08306028,0.480695407,0.480695407,0.262075255,0.000035528627,0.584583848,ARTC05,Loaded,2022-07-03T04:58:00Z,2022-07-03,0.482243394,-0.734032283
ARTC-12,192.78,192.8,192.7999,10.7223569,null,-0.848862449,null,-7.43152349,-2.92212588,-4.56462419,2.86689929,null,33.869,-24.8605119,5.54863253,0.335073337,0.670596268,2.50485652,0.490700236,-2.71946722,-0.0306885959,0.00615546515,0.10070882,0.00245011371,-3.76269535,-12.3880853,4.56462419,2.50485652,2.50485652,0.670596268,-0.000363703533,-0.354549581,ARTC05,Loaded,2022-07-03T16:59:00Z,2022-07-03,2.86689929,-2.92212588
ARTC-12,192.78,192.8,192.7989,0.825245034,null,0.125034566,null,-2.17826275,-0.379796661,-0.96409681,1.21416594,null,32.723,-24.8682908,5.59176849,0.261899975,0.639011537,2.44593347,0.403414036,1.24450867,-0.0245472016,0.0117958598,0.130183504,0.0267655486,-0.425785671,-11.4690919,1.21416594,2.44593347,2.44593347,0.639011537,-0.000308399178,0.515437814,ARTC05,Loaded,2022-07-03T04:58:00Z,2022-07-03,1.21416594,-0.379796661
ARTC-12,192.78,192.8,192.7989,10.1238015,null,-0.903780338,null,-3.86336699,-0.614771854,-2.83546383,1.02790316,null,33.869,-24.8605119,6.53078996,0.639682147,0.478776159,1.12148239,1.08361687,-1.60907188,-0.0204210549,0.136415902,0.206942789,0.0577283254,1.69043709,-6.36144678,2.83546383,1.12148239,1.12148239,0.639682147,-0.000547145909,-0.357813222,ARTC05,Loaded,2022-07-03T16:59:00Z,2022-07-03,1.02790316,-0.614771854
ARTC-12,192.78,192.8,192.7995,1.44578092,-0.0288913835,null,0.666913789,null,0.304565511,null,0.737593534,-0.362348278,39.129,-21.7180459,4.59728599,2.76190013,1.22305333,5.46350976,null,0.675005139,0.0320212869,0.245094523,0.407808496,null,-0.820194457,-2.4810398,0.737593534,5.46350976,5.46350976,2.76190013,0.000244142984,-0.0438666026,ARTC05,Loaded,2023-07-25T04:30:00Z,2023-07-25,0.737593534,0.304565511
ARTC-12,192.78,192.8,192.7995,1.0709018,-0.126518671,0.40371389,0.691519741,-0.590098801,0.2192412,0.10866449,0.698763291,-0.472278541,35.282,0.274231883,-6.23181707,1.86615827,null,null,6.14006719,-0.430797303,0.0837217606,null,null,0.0887572735,-0.0971972055,-1.62396376,0.698763291,6.14006719,6.14006719,1.86615827,-0.000170557647,-1.43771035,ARTC04,Loaded,2023-07-25T13:07:00Z,2023-07-25,0.698763291,0.2192412
